PLACEID,CHANGETYPE,ATTRIBUTENAME,PRIMARY,LANGUAGECODE,NAMETYPE,BASETEXT,PREVIOUS_NAMETYPE,PREVIOUS_LANGUAGECODE,PREVIOUS_BASETEXT
036cb259-354a1f6e6ed5bf43c3f095c5455436e5,UPDATE,NAME,TRUE,en,OFFICIAL,Southern Cross Care,OFFICIAL,en,Southern Cross Homes
036r652n-0d538f2bcd268eafc604a035e491425e,UPDATE,NAME,TRUE,en,OFFICIAL,Adventist Aged Care,OFFICIAL,en,Adventist Aged Care - Wahroonga
036r3grd-5e698d9ed82f4475908a6be4b080b946,UPDATE,NAME,TRUE,en,OFFICIAL,Genista Aged Care,OFFICIAL,en,Genista Aged Care Facility
0369766d-2a98e188dd74e650aa3cc53e12ebd6e2,UPDATE,NAME,TRUE,en,OFFICIAL,Uniting Bankstown,OFFICIAL,en,Uniting Bankstown Centre
036r3gqu-bd08bf82b0ed4b1c813adda9b77e3dc3,UPDATE,NAME,TRUE,en,OFFICIAL,Beechwood Aged Care,OFFICIAL,en,Beechwood Aged Care
036r6587-a8664e5ad07fd0201c2d1eb686b1f551,UPDATE,NAME,TRUE,en,OFFICIAL,Baldwin Living Seabeach Gardens,OFFICIAL,en,Seabeach Gardens
036412f1-00e7b8715e00742f3d3094850f91d393,UPDATE,NAME,TRUE,en,OFFICIAL,Minkara Resort Retirement Living,OFFICIAL,en,Aveo Minkara Resort
036r3gqm-c48a8ab2d3f74f27bb4ca0fe564ea0ef,UPDATE,NAME,TRUE,en,OFFICIAL,Donald Robinson Village,OFFICIAL,en,Anglican Retirement Villages
036r3grr-7268651a59614301a04418ae68f2e19e,UPDATE,NAME,TRUE,en,OFFICIAL,Russell Lea,OFFICIAL,en,Russell Lea Aged Care Facility
036r6584-fb11f683535a44a39f12efeb3f285a14,UPDATE,NAME,TRUE,en,OFFICIAL,Elizabeth Jenkins Place Aged Care Centre,OFFICIAL,en,The Salvation Army Elizabeth Jenkins Place
036r3gr5-3020045cd68c49529096b44c02808f5d,UPDATE,NAME,TRUE,en,OFFICIAL,Bankstown City Aged Care,OFFICIAL,en,Bankstown City Aged-Corporate
036r3gqq-1c039fbaa2179fc046951f414aee109c,UPDATE,NAME,TRUE,en,OFFICIAL,Moran Aged Care,OFFICIAL,en,Moran Gallery
036eaf5c-5e40df1a5d51ee6ce73355209c05efd1,UPDATE,NAME,TRUE,en,OFFICIAL,Camden Downs Retirement Village,OFFICIAL,en,Aveo Camden Downs
036r6524-8f6613cab2944d9e91e6e8ef189497bb,UPDATE,NAME,TRUE,en,OFFICIAL,Adventist Aged Care & Retirement Villages PVT LTD,OFFICIAL,en,Adventist Aged Care - Kings Langley
036r3grf-8237afd888a24e9eab9485ab12efce65,UPDATE,NAME,TRUE,en,OFFICIAL,Hardi Aged Care,OFFICIAL,en,Blacktown Nursing Home
036r652n-925513ee8a036d9ad3438a5285b879a3,UPDATE,NAME,TRUE,en,OFFICIAL,MarkMoran Group,OFFICIAL,en,Mark Moran Warrawee
036r3gqv-c1be184395404051a73702957f97e3b4,UPDATE,NAME,TRUE,en,OFFICIAL,St. Basil's,OFFICIAL,en,St. Basil's Lakemba
036r652h-b708e4020c4a49feaa298fbea739f9ff,UPDATE,NAME,TRUE,en,OFFICIAL,Castle Ridge,OFFICIAL,en,Castle Ridge Resort
036r652k-9dd035a60f654105ba6827b44026b3ae,UPDATE,NAME,TRUE,en,OFFICIAL,Uniting Kentgrove,OFFICIAL,en,Uniting Kentgrove Lodge Kenthurst
0361r4ve-9f09398db43901679ae12b981b365ad2,UPDATE,NAME,TRUE,en,OFFICIAL,Elizabeth Lodge,OFFICIAL,en,Elizabeth Lodge Nursing Home
03640db9-2963606c1bf91c024da5cdad7a5a25de,UPDATE,NAME,TRUE,en,OFFICIAL,Cranbrook Residences,OFFICIAL,en,Cranbrook Residences - Norwest
036r3gxc-fc0d984b8dca4af9982f043cce520a6a,UPDATE,NAME,TRUE,en,OFFICIAL,Scalabrini Allambie Heights,OFFICIAL,en,Scalabrini Village Allambie Heights
036r3grs-434b8f40deed436b8f67bc07ac600e1c,UPDATE,NAME,TRUE,en,OFFICIAL,Southern Cross,OFFICIAL,en,Southern Cross Community Healthcare
036q9wpy-46756989d19a06b36c3efe4bb2fbaf50,UPDATE,NAME,TRUE,en,OFFICIAL,Kooloora Retirement Villages,OFFICIAL,en,Kooloora Melaleuca Villages
0361r4ve-e320bacdb0270e6e1c474f89784891c1,UPDATE,NAME,TRUE,en,OFFICIAL,Baulkham Hills Aged Care Home,OFFICIAL,en,Summitcare Baulkham Hills
036r6584-e0a8f52c957ea3f2bb59d73bf472ed9b,UPDATE,NAMA,TRUE,en,OFFICIAL,Willandra Village and Bungalows,OFFICIAL,en,Willandra Village Bungalows Retirement Community
0360c418-e521673760319ea1ecf4bc5ae514e4c2,UPDATE,NAME,TRUE,en,OFFICIAL,Uniting Westmead,OFFICIAL,en,Uniting Mayflower Westmead
036fb14a-fdc038e5bc201a6b423e75917e56a138,UPDATE,NAME,TRUE,en,OFFICIAL,Noorong,OFFICIAL,en,Noorong Self Care Units KOPWA
036r3gqm-0e0cfd7b672e798a917697ba683502ef,UPDATE,NAME,TRUE,en,OFFICIAL,Mildred Symons House,OFFICIAL,en,Anglicare
036r3grd-e2d8f7f97d924505b61600d81069218f,UPDATE,NAME,TRUE,en,OFFICIAL,Bolton Clarke Pendle Hill,OFFICIAL,en,Bolton Clarke Pendle Hill - Residential Aged Care
036r3gx8-8f2058f375cc447d9c29f0ca38651ba0,UPDATE,NAME,TRUE,en,OFFICIAL,Scalabrini,OFFICIAL,en,Scalabrini Village
036805d9-88cd0e2ff84023e0c8d14c075c6420ff,UPDATE,NAME,TRUE,en,OFFICIAL,DCM Institute,OFFICIAL,en,DCM Group
036r3gx9-519a1389d1fc4993b1fbefdffa9beb79,UPDATE,NAME,TRUE,en,OFFICIAL,Uniting The Garrison Mosman,OFFICIAL,en,The Garrison & Killarney Retirement Centre
036r3gx2-ea1f44f70e1b46398df86a002da19ebd,UPDATE,NAME,TRUE,en,OFFICIAL,St Johns,OFFICIAL,en,St John's Village
036r3gx8-09ff068863344e17be18b49d53ef30d7,UPDATE,NAME,TRUE,en,OFFICIAL,Northbridge,OFFICIAL,en,Northbridge Gardens Retirement Village
036r3grp-9b0b42d12f614ee1a500d8c268d36752,UPDATE,NAME,TRUE,en,OFFICIAL,Uniting Annesley,OFFICIAL,en,Woodfield Nursing Home
036a14b2-b74463ffdd9deb6ec6a5d5ae13a7a3e6,UPDATE,NAME,TRUE,en,OFFICIAL,St Vincent’s Aged Care Heathcote,OFFICIAL,en,St Vincent's Care Services Heathcote
036r3gry-2387fb841bf04191a8a0d3b5e08fc219,UPDATE,NAME,TRUE,en,OFFICIAL,Living Choice Leisure Lea Gardens,OFFICIAL,en,Leisure Lea Gardens
036005a8-e4362d39ab5bf0acd1851db889bd66d4,UPDATE        ,NAME,TRUE,en,OFFICIAL,Pendle Hill Retirement Village,OFFICIAL,en,Fresh Hope Care - Pendle Hill Retirement Village
036r3grq-2bc5d6545a50482d8e0bee1b585052a4,UPDATE,NAME,TRUE,en,OFFICIAL,Bolton Clarke Redleaf Manor,OFFICIAL,en,Redleaf Manor
0363f534-07cf4279a3934ac81158c6034598c00d,UPDATE,NAME,TRUE,en,OFFICIAL,Uniting Mayflower,OFFICIAL,en,Uniting Mayflower Rockdale
036r3gpu-7e8e4f80855ea5e071b26c364c765e44,UPDATE,NAME,TRUE,en,OFFICIAL,Nepean Shores,OFFICIAL,en,Nepean Shores – Penrith
036r3gxb-4b5ac6c33a534119af828b7a23325703,UPDATE,NAME,TRUE,en,OFFICIAL,Lindfield Gardens Retirement Living,OFFICIAL,en,Aveo Lindfield Gardens
036r3gry-527afea258fdb81b668945827ec4e32d,UPDATE,NAME,TRUE,en,OFFICIAL,BaptistCare Cooinda Court Aged Care Home,OFFICIAL,en,Baptistcare Cooinda Court
036r3gqv-32e87f0347864e6184d22b1a693a761e,UPDATE,NAME,TRUE,en,OFFICIAL,Peakhurst Lodge,OFFICIAL,en,Peakhurst Nursing Home
036r3gxf-73f8f8f03ccaf34f16e9ec01d06d5364,UPDATE,NAME,TRUE,en,OFFICIAL,Alexander Aged Care,OFFICIAL,en,Alexander Aged Care Facility
0363e685-a6258aece9620f38316f2169bb2ee360,UPDATE,NAME,TRUE,en,OFFICIAL,Uniting Bowden Brae,OFFICIAL,en,Uniting Bowden Brae Normanhurst
036d408k-7037f6993da602f9972193e3fa8aa935,UPDATE,NAME,TRUE,en,OFFICIAL,Governor Phillip Manor,OFFICIAL,en,Governor Phillip Nursing Home
036r3gx8-52834509aefd44b8a634bd66956a7b66,UPDATE,NAME,TRUE,en,OFFICIAL,Windsor Gardens,OFFICIAL,en,Windsor Gardens Retirement Village
036r3gx9-453bb521ead14d32967a62ce50dfd974,UPDATE,NAME,TRUE,en,OFFICIAL,Bougainvillea,OFFICIAL,en,Bougainvillea The Bay Club Resort
036r3grs-f0978c55ace64217ae0e848b9a572d9f,UPDATE,NAME,TRUE,en,OFFICIAL,Courtlands Village,OFFICIAL,en,Courtlands Retirement Village
0368lxx5-6a318ec60363012d09f81318ef27ac8f,UPDATE,NAME,TRUE,en,OFFICIAL,Upa,OFFICIAL,en,Upa Sydney
036r6584-2c859aa19e0742db9d96198058dab07f,UPDATE,NAME,TRUE,en,OFFICIAL,Warringah Place,OFFICIAL,en,Warringah Place Retirement Village
036cca97-261897f0556764be0130889e5c20c222,UPDATE,NAME,TRUE,en,OFFICIAL,Highline Westmead,OFFICIAL,en,Highline
0368lxx5-3695400735510548674d6d044694f6ba,UPDATE,NAME,TRUE,en,OFFICIAL,Blakehurst Aged Care,OFFICIAL,en,Blakehurst Aged Care Centre
036193a4-9160aac28ea6b6d828359bb6068c106d,UPDATE,NAME,TRUE,en,OFFICIAL,Maple Grove Retirement Village,OFFICIAL,en,Aveo Maple Grove
036r3grn-73e974c420ce22ff8444583d11a0eeda,UPDATE,NAME,TRUE,en,OFFICIAL,Bethel Home Care,OFFICIAL,en,Bethel Nursing Home
036r3gre-db09f7bd6eb74a13ae064ca55234f41c,UPDATE,NAME,TRUE,en,OFFICIAL,Bolton Clarke Cabrini,OFFICIAL,en,Cabrini
03601de2-4d3e51df6e670f1201ca0a730509e747,UPDATE,NAME,TRUE,en,OFFICIAL,Uniting Mayflower Village,OFFICIAL,en,Uniting Mayflower Wentworthville
036r652p-2cd2cbbdcd1cecff31b7910443d4f99e,UPDATE,NAME,TRUE,en,OFFICIAL,Uniting Northaven,OFFICIAL,en,Northhaven Nursing Home
036jx7ps-4ad3845652a70b6d95d75022c6e4b1f2,UPDATE,NAME,TRUE,en,OFFICIAL,Tender Care,OFFICIAL,en,Tender Care Nursing Agency
036r6584-f05e0a9dd03a445989ec6c4ceaf097d8,UPDATE,NAME,TRUE,en,OFFICIAL,Levande Maybrook,OFFICIAL,en,Maybrook Village
036r3gry-6b27888e1a788d34b1745b4344386726,UPDATE,NAME,TRUE,en,OFFICIAL,St Catherine’s Aged Care Services,OFFICIAL,en,St Catherine's Nursing Home
036r3gq9-d955c8866a184fb59d79e667534da158,UPDATE,NAME,TRUE,en,OFFICIAL,Whiddon Easton Park – Glenfield,OFFICIAL,en,The Whiddon Group - Glenfield
036r652r-c87bbd46e29f4383bca2ead5f4076a56,UPDATE,NAME,TRUE,en,OFFICIAL,The Landings,OFFICIAL,en,LDK Turramurra Unit Trust
036r652j-0e6d2f293e9d0d01fe76fda50a5a16d1,UPDATE,NAME,TRUE,en,OFFICIAL,Uniting Bramley,OFFICIAL,en,Uniting Bramley Beecroft
036r3grh-30da123ff23e4d1a8e2561ded6ff20b8,UPDATE,NAME,TRUE,en,OFFICIAL,Bolton Clarke Bass Hill,OFFICIAL,en,Bolton Clarke Bass Hill - Residential Aged Care
036c6533-58e58858ac06cf60cd63553cef727196,UPDATE,NAME,TRUE,en,OFFICIAL,Colah Grand,OFFICIAL,en,Colah Gardens
03683a3e-877aac1a82a6597910ec4ab4e91effab,UPDATE,NAME,TRUE,en,OFFICIAL,Uniting Northaven,OFFICIAL,en,Uniting Northaven Turramurra
036r6583-99ba4aed411f45988d3e9bbf5597e96d,UPDATE,NAME,TRUE,en,OFFICIAL,Terrey Hills Nursing Home,OFFICIAL,en,Thompson Health Care
0367653e-13c3eb4471d0dba13267b7669aea865b,UPDATE,NAME,TRUE,en,OFFICIAL,Gordon Quarter,OFFICIAL,en,Anglican Retirement Villages
036df026-404bdacc6f6167f5ed44034d16fd5331,UPDATE,NAME,TRUE,en,OFFICIAL,Uniting Westmead,OFFICIAL,en,Uniting Mayflower Westmead
036r3gx9-0488b2d614354b6985d507f03b8039df,UPDATE,NAME,TRUE,en,OFFICIAL,Sirius Cove,OFFICIAL,en,Sirius Cove Nursing Home by Hall Prior
036r652r-abff1ab877cf449c930751562086f87a,UPDATE,NAME,TRUE,en,OFFICIAL,Huon Park,OFFICIAL,en,Huon Park Retirement Village
036r652r-d4657ff5b9584bf79270910ab502e4da,UPDATE,NAME,TRUE,en,OFFICIAL,Turramurra House,OFFICIAL,en,Thompson Health Care
03689d37-2b6925c2cd775ef674fa045180327692,UPDATE,NAME,TRUE,en,OFFICIAL,Stoney Creek,OFFICIAL,en,Ingenia Lifestyle Stoney Creek
036r3grh-bbded470348f4dd7a46fc73ac664bcc4,UPDATE,NAME,TRUE,en,OFFICIAL,Bupa Bankstown,OFFICIAL,en,Bupa Aged Care
036791d2-9a52a8dd10f481dcffbfcccf13a61beb,UPDATE,NAME,TRUE,en,OFFICIAL,Ardency Aroona,OFFICIAL,en,Ardency Aroona Retirement Village
036r652j-f81181927f96e7c7957bd88b58da57e4,UPDATE,NAME,TRUE,en,OFFICIAL,The Lakes of Cherrybrook Retirement Village,OFFICIAL,en,The Lakes of Cherrybrook
036r6527-80e653e21b04420ea8463018e4d55616,UPDATE,NAME,TRUE,en,OFFICIAL,Arcare Aged Care,OFFICIAL,en,Arcare Glenhaven
0368lxx5-3770e3c924580b3d7b9588a7c83a25f1,UPDATE,NAME,TRUE,en,OFFICIAL,The Woniora,OFFICIAL,en,The Woniora - Wahroonga
036r3gpv-5e4ccfe34915484292700d6c58ca2d48,UPDATE,NAME,TRUE,en,OFFICIAL,Lemongrove Gardens Residential aged care,OFFICIAL,en,Lemongrove Gardens Village
03616333-5ad77eb0351564e542de402f171a03b7,UPDATE,NAME,TRUE,en,OFFICIAL,Minto Gardens,OFFICIAL,en,Anglicare - Minto Gardens
036r3gqw-bcc711231ddd4af0acf8fae1e7a8db46,UPDATE,NAME,TRUE,en,OFFICIAL,Blakehurst Aged Care Home,OFFICIAL,en,Blakehurst Retirement Village
036r6586-1f01479b6c6c42d3916f7d4f03ff2fa2,UPDATE,NAME,TRUE,en,OFFICIAL,Peninsula Gardens,OFFICIAL,en,Aveo Peninsula Gardens
036r3gxf-9ce1002c78bd45bb9b797ea8e99007f4,UPDATE,NAME,TRUE,en,OFFICIAL,Santa Monica Village,OFFICIAL,en,Southern Cross Care Santa Monica Village
0364e7c3-ab6efba5af4280db51da8a6a9806ca93,UPDATE,NAME,TRUE,en,OFFICIAL,Uniting Mayflower Village,OFFICIAL,en,Uniting Mayflower Pendle Hill
036r3grp-9d9c63d8de1d47e9a56d6273c55aa799,UPDATE,NAME,TRUE,en,OFFICIAL,Annandale Grove,OFFICIAL,en,Opal Annandale
036r3gwc-66f77e885512497ca5b75c1711690765,UPDATE,NAME,TRUE,en,OFFICIAL,St James Villa,OFFICIAL,en,Catholic Healthcare St James Villa
0361r4ve-3d4e388bdbc1024cca5eeba446972a1f,UPDATE,NAME,TRUE,en,OFFICIAL,The Grange,OFFICIAL,en,The Grange Waitara
036fe153-dc5888d0c0640f2a79f9df959fa4fb17,UPDATE,NAME,TRUE,en,OFFICIAL,Ingenia Holidays Nepean River,OFFICIAL,en,Ingenia Lifestyle Nepean River
036r652h-dd0d9396d53b42e88de65efbf80c0303,UPDATE,NAME,TRUE,en,OFFICIAL,The Donald Coburn Centre,OFFICIAL,en,Donald Coburn Centre
036r3grr-d7979d7f8c864571aaaaa3512d8ad252,UPDATE,NAME,TRUE,en,OFFICIAL,Carino Care,OFFICIAL,en,Russell Lea Nursing Home
0361r4ve-40579f318c1e07e22caa6b9677d4d45f,UPDATE,NAME,TRUE,en,OFFICIAL,Gordon Quarter,OFFICIAL,en,Anglicare Sydney - Gordon Quarter
036r3grn-216f3f3bdb314c7291ea2bad8cc85038,UPDATE,NAME,TRUE,en,OFFICIAL,Holy Spirit,OFFICIAL,en,Holy Spirit Croydon
036fea1c-31cb178e49c00df26f5c4d0748688dbb,UPDATE,NAME,TRUE,en,OFFICIAL,Uniting Nulgara Village,OFFICIAL,en,Uniting Nulgara Oatley
0368lxx5-507b9179e0a9016392d9ad65495bf1be,UPDATE,NAME,TRUE,en,OFFICIAL,OLC Care,OFFICIAL,en,Sisters of Our Lady of China
036r3grp-5645c7a2f1e747e88546a16ba2ad70cc,UPDATE,NAME,TRUE,en,OFFICIAL,Cardinal Freeman,OFFICIAL,en,Cardinal Freeman Nursing Home
03618533-44f6f874705051bf119afefbc876f521,UPDATE,NAME,TRUE,en,OFFICIAL,Bella Vista Haven,OFFICIAL,en,Aveo Bella Vista
03603602-c81d0cb63905d0cfeee131fd915c5b35,UPDATE,NAME,TRUE,en,OFFICIAL,Macquarie Lodge Aged Care Centre,OFFICIAL,en,The Salvation Army Aged Care
0365a4d1-23e6886c1c75779b7cf9feb92a184737,UPDATE,NAME,TRUE,en,OFFICIAL,Charles O'Neill Units,OFFICIAL,en,Charles O'Neill Retirement Village
03639b5e-eba2d9c39eb2635e25befca021ae1786,UPDATE,NAME,TRUE,en,OFFICIAL,Rooty Hill Village,OFFICIAL,en,Anglicare Rooty Hill Village
036jx7ps-d78471d0c8d0016fc3e667b2d2e4c380,UPDATE,NAME,TRUE,en,OFFICIAL,Gillawarna Village,OFFICIAL,en,Bankstown City Aged Care
036fc1e3-81a788cb927bd8219ceb8618b107dafe,UPDATE,NAME,TRUE,en,OFFICIAL,Lithuanian Village,OFFICIAL,en,Lithuanian Retirement Village
036r652q-ad0e852299b8a229057b56c62e1b3713,UPDATE,NAME,TRUE,en,OFFICIAL,Christophorus House,OFFICIAL,en,Christophorus House Re
036fb50d-74021c95844d44dca3ba533a9e1ed018,UPDATE,NAME,TRUE,en,OFFICIAL,Mirambeena,OFFICIAL,en,Mirambeena Units
0366013c-c62df20a4e6eda0ddde94660dbea2e4f,UPDATE,NAME,TRUE,en,OFFICIAL,Best Practice Medical,OFFICIAL,en,Best Practice Nursing Agency
036ae3a8-dc6ce7944f40aa0834f63f7c8d744f03,UPDATE,NAME,TRUE,en,OFFICIAL,Paradise and Paradise Care,OFFICIAL,en,Paradise & Paradise Care
0369502c-2069644081a149c8a29a66a7cd342371,UPDATE,NAME,TRUE,en,OFFICIAL,The Village,OFFICIAL,en,Scalabrini
036r6527-2a368dc45cb344bcbdc8ae16b0d0c58a,UPDATE,NAME,TRUE,en,OFFICIAL,Living Choice,OFFICIAL,en,Living Choice Glenhaven
036r3grd-5da68017ab1c442b9610e5672f2f3cba,UPDATE,NAME,TRUE,en,OFFICIAL,Merrylands,OFFICIAL,en,Estia Health Merrylands
036r3gr5-da401b02beb74ca2b411f01a1841f874,UPDATE,NAME,TRUE,en,OFFICIAL,Chipping Norton,OFFICIAL,en,Scalabrini Chipping Norton
036d408k-c8a37be1c625014e3834fb4db001a658,UPDATE,NAME,TRUE,en,OFFICIAL,CARDINAL GILROY VILLAGE,OFFICIAL,en,Southern Cross Care
036r3grx-507a0774bb004423a7a61f90316c6864,UPDATE,NAME,TRUE,en,OFFICIAL,St Anne's Aged Care,OFFICIAL,en,Catholic Healthcare St Anne's Aged Care
036jx7ps-7fc2c161e9b905ac4e22531fed58034f,UPDATE,NAME,TRUE,en,OFFICIAL,Bondi Waters,OFFICIAL,en,Bondi Waters Aged Care
036r3gqy-88f74cea60d34667bcd32dffaf1c35a6,UPDATE,NAME,TRUE,en,OFFICIAL,Estia Health Bexley,OFFICIAL,en,Eddystone Nursing Home
036r3grp-034ede79d4fd46f9a384fcfe9cd63b13,UPDATE,NAME,TRUE,en,OFFICIAL,Annandale Grove,OFFICIAL,en,Annandale Grove Care Community
036r3grn-55fb2ecb1fdb040b8fe8c1efb22a3dd5,UPDATE,NAME,TRUE,en,OFFICIAL,Strathfield Gardens,OFFICIAL,en,Strathfield Gardens Retirement Village
036r652p-2c481af10a9b4384a16b702186f8a394,UPDATE,NAME,TRUE,en,OFFICIAL,Uniting Kari Court,OFFICIAL,en,Wesley Gardens-Kari Court
036r3gqv-5eee1dd3ff2340e788e1071ef7400f5a,UPDATE,NAME,TRUE,en,OFFICIAL,Retirement Community Greglea,OFFICIAL,en,Greglea Retirement Community
036395db-fef742a0806d84e0bcc25e6b773d4c43,UPDATE,NAME,TRUE,en,OFFICIAL,Uniting Pindari,OFFICIAL,en,Uniting Pindari Ryde
036r3gqm-ec31feed63327c1ac48fb6183198c045,UPDATE,NAME,TRUE,en,OFFICIAL,IRT Thomas Holt Kilpatrick Court,OFFICIAL,en,IRT Thomas Holt Village
036366d0-028af0d6daa25546e989673e8621a674,UPDATE,NAME,TRUE,en,OFFICIAL,Levande Cardinal Freeman,OFFICIAL,en,Cardinal Freeman Retirement Village
