PLACEID,CHANGETYPE,ATTRIBUTENAME,PLACESTATUS
036r3grm-1a80bd43fbeb48b2be28931fb56de39b,UPDATE,STATUS,INACTIVE
036r3gx0-683777678f167e7a0d37797803ede07b,UPDATE,STATUS,INACTIVE
036r3gr9-92f25b67dde94ecfaa6f67ca9d44f3e7,UPDATE,STATUS,INACTIVE
036r3grq-a8a599f8fb5eed9bc82cdd5421241ab3,UPDATE,STATUS,INACTIVE
036r3gx3-ce28a0a96de861dc1dfd4c664187aba5,UPDATE,STATUS,INACTIVE
036r3gx3-5e89eb0e8a134776b57ec5bc88fd0ee0,UPDATE,STATUS,INACTIVE
036r3gxf-daefb008567252105c785a79afc7545c,UPDATE,STATUS,INACTIVE
036r3grt-6e5a86f199b8bdeb8a26387e1a5578d8,UPDATE,STATUS,INACTIVE
036r3gr4-4880c69987de4d198cddcd9b61507bcd,UPDATE,STATUS,INACTIVE
036r3grw-a706f1f139ba4326ad6a183e09d39f0b,UPDATE,STATUS,INACTIVE
036r3grs-ded942d88c434cd89b529403e17b7a0a,UPDATE,STATUS,INACTIVE
036r3gx2-712feb71470a5f3c85b007687457a83a,UPDATE,STATUS,INACTIVE
036r3grp-be1e0f54d5ad5557bb03c48640d1332f,UPDATE,STATUS,INACTIVE
0361r4ve-780092135b170b75fb5aa5e941cb2981,UPDATE,STATUS,INACTIVE
036r652q-98b95e873c68459fba2020d84f4cdacb,UPDATE,STATUS,INACTIVE
036r3gqt-2666d2afcb0503145712a9c9c85cb3a2,UPDATE,STATUS,INACTIVE
0362d8d0-a6d2207a271d5d8057cb0102cd5657ea,UPDATE,STATUS,INACTIVE
036r3gx9-54b893057e2849e2831f5296f8a9e6e7,UPDATE,STATUS,INACTIVE
036r3grx-2b1df930b808272fb88dc76be86c6a16,UPDATE,STATUS,INACTIVE
036r3gq9-141a46df7c3b2d4da7ab8781fbba24d8,UPDATE,STATUS,INACTIVE
036jx7ps-300d904c040f0f30f6981ba4e77abf6f,UPDATE,STATUS,INACTIVE
036d408k-53f59ab40f31023a615677ef3b7244b3,UPDATE,STATUS,INACTIVE
036r3gx9-35c0b47a8e914156a40c10df78107bf2,UPDATE,STATUS,INACTIVE
036r3gqz-0b6db87ea6500102c3b4e0314fc4e773,UPDATE,STATUS,INACTIVE
0368lxx5-d11f4a10bd630665f7de71d41e5e1ae3,UPDATE,STATUS,INACTIVE
036r3gx2-e23bc16dcacb8b69bc5f0b5b758a4226,UPDATE,STATUS,INACTIVE
036r3gx0-8ff2a68528f6d5dc484432eab4909ac2,UPDATE,STATUS,INACTIVE
03658e78-3720f3777e52c39c0943a1b864b5d654,UPDATE,STATUS,INACTIVE
036r3grc-f577793c67de4daf95156c47e3b10b9d,UPDATE,STATUS,INACTIVE
036r3grp-0ee85ae75a9c45e8b9714139737c44e5,UPDATE,STATUS,INACTIVE
036r3gx8-37b1d89763ded53ca731bd16c29154df,UPDATE,STATUS,INACTIVE
036r3grm-63b8c2adf306f05bff5681321b5d071c,UPDATE,STATUS,INACTIVE
036r3gx2-d5395544c23040ddb1b529695042bb20,UPDATE,STATUS,INACTIVE
036r3gqm-8f9f136f3bf4b0b63288520e01d2e613,UPDATE,STATUS,INACTIVE
036r3gx0-be9f99c64c0d4317ad969db1cb885a88,UPDATE,STATUS,INACTIVE
036r3gx2-0a78c1e7f4f54cb7a3f66ba014f0e7cf,UPDATE,STATUS,INACTIVE
036r3grw-9781e5166d6545faaaa2d0421325673f,UPDATE,STATUS,INACTIVE
0368lxx5-a18307e6e2e5048a3f082708c55da2b5,UPDATE,STATUS,INACTIVE
036r3gnp-e34317c4c3d6c7fea2fc65e51a260703,UPDATE,STATUS,INACTIVE
036r3gxd-f65ba2b90fda4c7b83f842be0004aa83,UPDATE,STATUS,INACTIVE
036r3gx0-b5041c3baf1409a5fd136e0a5c666aae,UPDATE,STATUS,INACTIVE
036r3grs-9c041b12d0b8499ab9c1506eddd68c4b,UPDATE,STATUS,INACTIVE
036r3gre-fac9f53e26ecad5356b125505bd58543,UPDATE,STATUS,INACTIVE
036r3gru-0c19519168674182a49ee2b4296fffd6,UPDATE,STATUS,INACTIVE
036r3gqb-d00910f9eda9f9a7cda8546ce75c7dc6,UPDATE,STATUS,INACTIVE
036r3gx2-8b2ac71771f94d1b88d0d8a59fab162d,UPDATE,STATUS,INACTIVE
036r3grv-3857eeed08e04c95b001a7fa53a864b1,UPDATE,STATUS,INACTIVE
0361r4ve-9cd4babd0a66028089bb89fcb4276337,UPDATE,STATUS,INACTIVE
036r3grr-cca736f8afb34778936730d5248868fc,UPDATE,STATUS,INACTIVE
036r6522-05193bf8126caf62c4a6143d12c24f0e,UPDATE,STATUS,INACTIVE
0361r4ve-458768a1944101a49fa3fb4e6ecc5051,UPDATE,STATUS,INACTIVE
0368lxx5-64fb9b37076b0b5e3e907edd87e790d0,UPDATE,STATUS,INACTIVE
036r3gx2-c593dfa7f32841c7868778764fd3b603,UPDATE,STATUS,INACTIVE
036r3gr4-5f3f1d5b8b192ea86d4d9e7dfa548aa5,UPDATE,STATUS,INACTIVE
036r652h-bd381bc1685544aaa242bb37d929c850,UPDATE,STATUS,INACTIVE
0361r4ve-71f9c13589d60eb67e1beece493e80e6,UPDATE,STATUS,INACTIVE
036jx7ps-c0d6709d1a9707e12fdc52fef4404215,UPDATE,STATUS,INACTIVE
036r3gx8-9e16b4ab6fa848fab2554dfd01261787,UPDATE,STATUS,INACTIVE
036r6520-8a99c860025d456893113f8d7a02247c,UPDATE,STATUS,INACTIVE
036r3gpz-799ce15b57fe4276a3ff471396b3d192,UPDATE,STATUS,INACTIVE
036r3grp-35e4b059907b444cb457161bf8081ae0,UPDATE,STATUS,INACTIVE
036r3grj-5a51d0511f2aa5839a25a8ff353f6fcf,UPDATE,STATUS,INACTIVE
0361r4ve-c1d2ff80ec4604fc472802eead643689,UPDATE,STATUS,INACTIVE
036httek-82b5b3f363d0052af9cbdb94981e7e77,UPDATE,STATUS,INACTIVE
036r3gx8-c11c60442f294e9ebce1337bc9c58363,UPDATE,STATUS,INACTIVE
036r6526-1233b3b8ef194450ac2aae8870c6769b,UPDATE,STATUS,INACTIVE
036r3gxf-490367d6a96286ea44716cf5676dd51e,UPDATE,STATUS,INACTIVE
036r3grc-2e86a2776b64487b835abc22801b559a,UPDATE,STATUS,INACTIVE
036r3grh-63130f46fc674023abacfd60895d1ac2,UPDATE,STATUS,INACTIVE
0368lxx5-04d8d2f62cf205faac7ef372fa18f36a,UPDATE,STATUS,INACTIVE
036r652h-703311b4c539430ba4bd1bfc2d77dfd8,UPDATE,STATUS,INACTIVE
036r3gx0-a1e9fd5f2aec43768e20e940c038e4e5,UPDATE,STATUS,INACTIVE
036r3gx6-6cf7e3e73be64172a1ca35f36c24dcc8,UPDATE,STATUS,INACTIVE
036jx7ps-d5f0950a3f63066b876f547a0f31914b,UPDATE,STATUS,INACTIVE
0368lxx5-5ae9a82e6272020a4d8ef3dbd713eb22,UPDATE,STATUS,INACTIVE
0368lxx5-774e2b3582bf093d56e070df392b1e3a,UPDATE,STATUS,INACTIVE
036r3gpy-b881027888597469692b8f4cf7d04ce6,UPDATE,STATUS,INACTIVE
036r6584-e1bca2665a2f3a33ea13c714e98678b2,UPDATE,STATUS,INACTIVE
036r3gx3-2980e86284871b38058442fa7dff06d8,UPDATE,STATUS,INACTIVE
036r3gx0-c5768174a0fcca1ae29b58b3f942a306,UPDATE,STATUS,INACTIVE
036r3gqu-b680a2c6bf19de3fe30da0b7a6f1faa4,UPDATE,STATUS,INACTIVE
0368lxx5-1ca5ceb6bcd809fb9eab84d7da66b0e5,UPDATE,STATUS,INACTIVE
036r3gr4-b980ebeb455c824d4b407445bb908eb9,UPDATE,STATUS,INACTIVE
036r3grp-ea859d295a2942789fa5c6fb63b2a93e,UPDATE,STATUS,INACTIVE
036jx7ps-f6c04b9041a9016216b55edf7be38267,UPDATE,STATUS,INACTIVE
036jx7ps-988873bb107e05a0f605b4a10cc266d6,UPDATE,STATUS,INACTIVE
036r3gx4-5a433f56a71633dcc4f5115ec459cc03,UPDATE,STATUS,INACTIVE
036r3gxd-cf5b9b39e5d044c0a810bbe90aa360d6,UPDATE,STATUS,INACTIVE
036r3grf-688c2016cd9742dfb9c7dc0e11fc7b23,UPDATE,STATUS,INACTIVE
036r3gx2-fa1853b47a844c068e40f382957dff10,UPDATE,STATUS,INACTIVE
036r3grv-580af42706ac431189a199dbe564fd65,UPDATE,STATUS,INACTIVE
036r3gx3-a1af8f69418e40d99181c09457941bb0,UPDATE,STATUS,INACTIVE
036r3gx8-33843b80cae84e44af0d98bc0526375e,UPDATE,STATUS,INACTIVE
036r3gx1-095372dba9fbab03f19b666287453cde,UPDATE,STATUS,INACTIVE
036r3grq-cf742d22721a472f8ff96f4a027db9f4,UPDATE,STATUS,INACTIVE
036r3gr3-944a2d97de86fb60c19b8a0d722e3066,UPDATE,STATUS,INACTIVE
036r3grq-de7ffd4ef3dd4134a9cffcc38530ac86,UPDATE,STATUS,INACTIVE
036r3gx3-5a4cd778007e485d8355f0773da60f3c,UPDATE,STATUS,INACTIVE
036r3gx1-d4ccacaf38d904023080f21d28624b39,UPDATE,STATUS,INACTIVE
036r3grn-29140beab4feb91118d7600a657a502b,UPDATE,STATUS,INACTIVE
036jx7ps-7474db02591c0293b1be680870075a6a,UPDATE,STATUS,INACTIVE
036r3gre-515ba0ba218941fd997dad974ae90668,UPDATE,STATUS,INACTIVE
036r3gwc-bbb3341a509740638566d3162db752b4,UPDATE,STATUS,INACTIVE
03669c33-596401036f2f35501dae8593b4de8b33,UPDATE,STATUS,INACTIVE
036r3grq-6f24c1ea52e341bfbb5594c71c7dd240,UPDATE,STATUS,INACTIVE
036r3gx6-a8c367465029a447b059cea7e97d0e29,UPDATE,STATUS,INACTIVE
036r3grp-f80cedd32323d2de0b4a606378c42a46,UPDATE,STATUS,INACTIVE
036r3gq2-1e12c3cae98c543057cfb178b9b1fdc5,UPDATE,STATUS,INACTIVE
0368lxx5-ff876500094b06eaae9c8a430152ca65,UPDATE,STATUS,INACTIVE
036r3gnp-79e688cbba43ae2dafe358e516832c73,UPDATE,STATUS,INACTIVE
036r652z-f9ec0d94a5164bbba81af49b222779bb,UPDATE,STATUS,INACTIVE
036r3gxf-94b4742ac0c614801e0f52a3a7eecb10,UPDATE,STATUS,INACTIVE
036r3grw-bf7c8b37a3f34c13a817ce602ad280b2,UPDATE,STATUS,INACTIVE
036r3gnr-94d9ab4c45fb7ac362faf68b0f3bfde8,UPDATE,STATUS,INACTIVE
0368lxx5-d55cc06518d80d1005a07293d1b12a8d,UPDATE,STATUS,INACTIVE
036r3gnq-cfaa351281a54137adefbf4c9881525f,UPDATE,STATUS,INACTIVE
036fa94b-3bd50bf95793465944cb0e2945c1036e,UPDATE,STATUS,INACTIVE
036r3gx1-2c00b015b2824c7daa0cbcbb1f0fa4c3,UPDATE,STATUS,INACTIVE
036r3grp-f069e87a20610e616157cf615730ff5a,UPDATE,STATUS,INACTIVE
0368lxx5-6f428f5babb508fd4c6cc2f4983bfcfd,UPDATE,STATUS,INACTIVE
036r3grh-304bb333bf6e4604922c896bf5870059,UPDATE,STATUS,INACTIVE
036r3gx0-2f7797a884cb4318bb9a13f4579a5f33,UPDATE,STATUS,INACTIVE
036r3gx1-c80b4fdf32877098b0db6dbf274395a1,UPDATE,STATUS,INACTIVE
036r3gx2-e2063fbd609a5dcf102b76b3fa8f6b22,UPDATE,STATUS,INACTIVE
036r3grm-6bf6e70022814d96b6760c32cc0a8548,UPDATE,STATUS,INACTIVE
036r3gry-9a8a7e1ea1d04497be360eb09b9a64ea,UPDATE,STATUS,INACTIVE
036r3grh-d6fca06e70ed7c155a0cd4fb0809906e,UPDATE,STATUS,INACTIVE
036r3gqz-6d677db544e360263898483c58a76ca4,UPDATE,STATUS,INACTIVE
036r3gru-9002f4a1fbafbcfc2a24d4b4b4b27f28,UPDATE,STATUS,INACTIVE
036r3grr-678d11633f0d863cb2c99f0ce206ef88,UPDATE,STATUS,INACTIVE
036r652p-14dc941dbb5b4fee8a41c2f729ed3840,UPDATE,STATUS,INACTIVE
036r3grt-e961f638c645c0e593b312e3f07798a7,UPDATE,STATUS,INACTIVE
0361c672-cd20091f8c57da89d3f6566615330a73,UPDATE,STATUS,INACTIVE
036r6584-6559e8a8da5b499e83e227f6de51d64a,UPDATE,STATUS,INACTIVE
036r3grg-d3eeaffbf26e45ffbf7b5c7db5bf5e45,UPDATE,STATUS,INACTIVE
036r6524-6cae974de92d463799c4475797a65afb,UPDATE,STATUS,INACTIVE
036r3gnm-3b778798526f4731a366729aa11a0df2,UPDATE,STATUS,INACTIVE
036r3grr-579c8ca9e284bef4bd3d374be277b2fb,UPDATE,STATUS,INACTIVE
036r652j-f546b3fdd6b04859b35654f11eabae1c,UPDATE,STATUS,INACTIVE
036r3gwc-189aa2edd2734f5998c65293cc367faa,UPDATE,STATUS,INACTIVE
036r3grs-67f30538fdea36fbdf23ede860f67bb9,UPDATE,STATUS,INACTIVE
036r3g7b-0687cab001824633992953ac66cbae68,UPDATE,STATUS,INACTIVE
036jx7ps-378982a2480f0d0c673f714e17220ebb,UPDATE,STATUS,INACTIVE
036r3grw-d9fb328fa04600117d4d3de6c6429e8c,UPDATE,STATUS,INACTIVE
036r3grp-a31f39ebb43a4664b8d023930adad62d,UPDATE,STATUS,INACTIVE
036r3gx2-1a9f855824c844b183034b17c552a98e,UPDATE,STATUS,INACTIVE
036r3gqf-068ba01987884e7ab518433e06f89093,UPDATE,STATUS,INACTIVE
036r3gqr-c300644b9a91a85d9e89c651c4286117,UPDATE,STATUS,INACTIVE
036r3gxf-e5de4b1c209fe667c39a5039eb3283d8,UPDATE,STATUS,INACTIVE
036r3gwb-ad0240b4818c449e8a31b07df1b3781b,UPDATE,STATUS,INACTIVE
036r3gqt-d5d7dfa1d0b044c72c11f8db4e9b15e5,UPDATE,STATUS,INACTIVE
036r6582-0571b9d0e2afcdbcbd16fffea6be5baa,UPDATE,STATUS,INACTIVE
036aabd1-c0fd171dcfdb0b23a8c377363a7a2521,UPDATE,STATUS,INACTIVE
036r3gqv-bbffce1a1f014b99ae43ecce952b87ab,UPDATE,STATUS,INACTIVE
036r3gpv-523a732fcb4b464eb2b1f760e199f922,UPDATE,STATUS,INACTIVE
036e1975-a2e5bb083044222215c0cf2f55673d4e,UPDATE,STATUS,INACTIVE
036r650p-57a17d37fcf68e26e3b380c2b218f7d8,UPDATE,STATUS,INACTIVE
036r3gqg-7b85ed18aa2e59b54c2ff06d30cd463e,UPDATE,STATUS,INACTIVE
0368lxx5-0684c22da6cb0387f9a64c51317f93be,UPDATE,STATUS,INACTIVE
036r3gwc-a7e4845d902546ecb7f8c2329e04ab2e,UPDATE,STATUS,INACTIVE
036r3gx0-7d237971b8f34bd39079e96c3a52f017,UPDATE,STATUS,INACTIVE
036r3gx1-ff20e594c1fb7af62b1ed3d750a60ad5,UPDATE,STATUS,INACTIVE
036r3gqr-82a983f10a164e5786fc4a8700848d63,UPDATE,STATUS,INACTIVE
036r3gqy-8fc9f4d4134f46dfa2adf091823f646c,UPDATE,STATUS,INACTIVE
036jx7ps-14d6844a62170ad67da89c883db065e7,UPDATE,STATUS,INACTIVE
036r3gqz-7e479c0eee5c2c1ac29d24efce587026,UPDATE,STATUS,INACTIVE
036d408k-7a7425b87ef6051b90b0cadfc630e95c,UPDATE,STATUS,INACTIVE
036r652n-51f445505efb491ca41373b791c014d2,UPDATE,STATUS,INACTIVE
036r3grt-e9e96722aae8467b803e4113ddd38658,UPDATE,STATUS,INACTIVE
036r650h-91915787e1204f9abf026386e21917a9,UPDATE,STATUS,INACTIVE
036r3grx-cb4fc82fa373b97b4702b8e76e99c6da,UPDATE,STATUS,INACTIVE
036e7057-16f179118e3b326efac0f166a2385f52,UPDATE,STATUS,INACTIVE
036r6521-c1fb85b49176d3d52dceed7490413a47,UPDATE,STATUS,INACTIVE
0361r4ve-5ec855e88fe90660970694e463b05204,UPDATE,STATUS,INACTIVE
036r3gpy-9e1b6e0849b5369e220b4ec76666eb63,UPDATE,STATUS,INACTIVE
036r3gx9-72946231a57e4a31913dafb1cc946081,UPDATE,STATUS,INACTIVE
036r3grn-c580805b4dfa4fbf97374d304601d638,UPDATE,STATUS,INACTIVE
036r3gx9-81c0ebe3de614ae7bf982863075b488b,UPDATE,STATUS,INACTIVE
0361r4ve-6f22ad7da29b07bc850af8b8de718a56,UPDATE,STATUS,INACTIVE
036httek-2efd24a04e2d04ca4940fed490982907,UPDATE,STATUS,INACTIVE
036r3gx8-34fb9baa342adbf06e50e4b8f1aeef3f,UPDATE,STATUS,INACTIVE
036r3grx-7c968c40667ca457979053bd4d5f03fd,UPDATE,STATUS,INACTIVE
036r3gxd-3782f5934469fa4501b68f9876fdbe82,UPDATE,STATUS,INACTIVE
036c9188-c0561bdc4d1da13720309117cc124345,UPDATE,STATUS,INACTIVE
036r3gx0-7ed264d11d439d3cb4c132cd8a7293c0,UPDATE,STATUS,INACTIVE
036r3gq2-331ac413df244bd2bbb6c79efcb4835b,UPDATE,STATUS,INACTIVE
036r3gx2-9cf07e38788f445b9b82886d8fba4fec,UPDATE,STATUS,INACTIVE
036r3grs-08712d5232af460b9791aca389cbe98f,UPDATE,STATUS,INACTIVE
0368lxx5-5c0ab18ae38d003b4f7e4936f3cada12,UPDATE,STATUS,INACTIVE
036r3grn-b572701e20d5cc72f52217cb4efee710,UPDATE,STATUS,INACTIVE
036r3grs-c73b65b353744ddd9182f56b8665006e,UPDATE,STATUS,INACTIVE
0361r4ve-72821084ca6a041a9ccf83b02437284a,UPDATE,STATUS,INACTIVE
036r3grm-760d07e249244a9ba85539ffbae0c7a0,UPDATE,STATUS,INACTIVE
036r3gr4-def637e28466494c8d9685f6cde2147c,UPDATE,STATUS,INACTIVE
036r6523-1566c1a01b1b76533408bc37b14f2493,UPDATE,STATUS,INACTIVE
0360fd0e-d2d0fbdaf25e86fbaf90adf6a2f4ab01,UPDATE,STATUS,INACTIVE
036r3gx2-6ab891f04e13294a9749cbf90c950ff7,UPDATE,STATUS,INACTIVE
036jx7ps-21051a5e11d808e8c493c15e4d7ba517,UPDATE,STATUS,INACTIVE
0368lxx5-646f7105753c02d8ee474e341358fe16,UPDATE,STATUS,INACTIVE
036r3gpv-c3d5e5fa5bdac779b8e68da17dcd20f8,UPDATE,STATUS,INACTIVE
036r3gqy-d85d0bb0af744c06b28ed5a7fcde31d6,UPDATE,STATUS,INACTIVE
036r3gx8-3df3d859078e4a9998b92c7af2ddb6f2,UPDATE,STATUS,INACTIVE
036jx7ps-e353b36a21f00341d2978412851201a4,UPDATE,STATUS,INACTIVE
036r3gx1-f98a4eb2d6e34e6d9c08d46a25112c70,UPDATE,STATUS,INACTIVE
036r3grq-1b8468b8e7d357b4f1810846cf83cd8f,UPDATE,STATUS,INACTIVE
036r3gr7-b02e7f8ccf994098bb2a0f726379a6b5,UPDATE,STATUS,INACTIVE
036r3grp-df19cf5bbacfd59e43cbabca8ebe09d1,UPDATE,STATUS,INACTIVE
036r3grk-cdd9fa8d34ebb1f5d37dde81397022a7,UPDATE,STATUS,INACTIVE
03644afc-da0d89057ae4f525d4800b458787deb5,UPDATE,STATUS,INACTIVE
036r658e-bf1de99e96002dd06cee9bbace9ef40a,UPDATE,STATUS,INACTIVE
0368lxx5-c939d717854d0c2c2021c81dd784d2d8,UPDATE,STATUS,INACTIVE
036d408k-5944f985bd720f966862ce5a342346eb,UPDATE,STATUS,INACTIVE
036r3gxd-4c4517c9722537f0fb8f8615c04f9d28,UPDATE,STATUS,INACTIVE
036r3gpv-042c1e74ffadde90cecfbb06f82607cb,UPDATE,STATUS,INACTIVE
036r3grr-b0072f562d381dce9266d886d53dc20f,UPDATE,STATUS,INACTIVE
036r3gx0-5c9171f304df43218b3814d88f6f17e6,UPDATE,STATUS,INACTIVE
0368lxx5-c03ef5a39f870082e89b02823a5be496,UPDATE,STATUS,INACTIVE
036r3gx0-a5fec63e21cd17ea004b5db4819cd29a,UPDATE,STATUS,INACTIVE
036r3gpu-71bf75cff623436384a2c04ca1ad51da,UPDATE,STATUS,INACTIVE
036r3gnn-be9958b9809eb81049396aad0d02ea78,UPDATE,STATUS,INACTIVE
036r3gx1-7e539bea0eda46d78e798ab2e33458c9,UPDATE,STATUS,INACTIVE
036r3gpv-bfdab813b21f433a9dba67f3890ec33b,UPDATE,STATUS,INACTIVE
0368lxx5-b45932d127e00e90854a0cc883531291,UPDATE,STATUS,INACTIVE
036r6525-2803d2c85888b53f61fa0a8cfc05fa1e,UPDATE,STATUS,INACTIVE
036r3gqk-4f57b2196e1940d7a97935ca69ee95c0,UPDATE,STATUS,INACTIVE
036r3gx8-5c514f96df6c40b8adee47e8ec5d95ca,UPDATE,STATUS,INACTIVE
036httek-74ac9187a44a0973353a8f8c2cedca02,UPDATE,STATUS,INACTIVE
036b4e47-9793f403a1f1367264c12d333e1c2105,UPDATE,STATUS,INACTIVE
036r3gq9-fa82785393a4eab7d9209898f6f46325,UPDATE,STATUS,INACTIVE
036r3gx0-5c04eff1704e056dfe6274942d094e0d,UPDATE,STATUS,INACTIVE
0368lxx5-f7a50929e75f0a46fee1e3c1cb7db8f1,UPDATE,STATUS,INACTIVE
036r3gry-5b98fc511b18322328cdd67b6ae179d2,UPDATE,STATUS,INACTIVE
036r3gpu-af98f6442a0f65b929a79a5b2c40f435,UPDATE,STATUS,INACTIVE
0361r4ve-5b934a80dd650017b3ec254f57d7eec3,UPDATE,STATUS,INACTIVE
036r3gq9-7a573327440943eab1e7444fcf2e535e,UPDATE,STATUS,INACTIVE
036r650p-79aec2ace45249e2bad62487bcc13393,UPDATE,STATUS,INACTIVE
036r3gre-0c58ae936461acecded2ef867ef6330c,UPDATE,STATUS,INACTIVE
036r3grb-3604bffe3b08da52ab026fd28e6b9f35,UPDATE,STATUS,INACTIVE
036r3gqq-dc913ea0f2ab4a96992bae6a6c18b2af,UPDATE,STATUS,INACTIVE
036r6526-e54740f014df455e88844e64f7915321,UPDATE,STATUS,INACTIVE
036r3gx4-78f36ced7a6b4747af5ae543b2d3b47a,UPDATE,STATUS,INACTIVE
036r3grx-1cc54536c4c95d9a8f5432c8ff2842b3,UPDATE,STATUS,INACTIVE
036r652q-b8d87465128b0b80f3d45ad0ac3811eb,UPDATE,STATUS,INACTIVE
036r3gqs-1ca2ed949fc64cd1991abb4cabb4f501,UPDATE,STATUS,INACTIVE
036r6584-bb452e8839c44f52b8ece576fa13b660,UPDATE,STATUS,INACTIVE
036r3grm-7916111fd21e4df4bad75fff36a829ed,UPDATE,STATUS,INACTIVE
036r6584-bf4097ba7b4f4ac884564796654324d4,UPDATE,STATUS,INACTIVE
036r3gx3-31a1a1f9a348bd1b6a29203f655228e4,UPDATE,STATUS,INACTIVE
036r3gx1-e03633949fa34102728fe129de3c7972,UPDATE,STATUS,INACTIVE
036r3gq2-d88c0d0d33bbcd71c4643707b8c1992a,UPDATE,STATUS,INACTIVE
036r3grv-391a08706571f5ccce9b839ffcd8deba,UPDATE,STATUS,INACTIVE
036r3gx0-782c1febcc6119becf193d7332c31453,UPDATE,STATUS,INACTIVE
036r3gqh-ba0f2f4f4ea8cc792e8222d9f9fac317,UPDATE,STATUS,INACTIVE
